Fighter,KD,Strikes,TD,Sub,Win_Rate,Total_Matches
Brandon Moreno,0.2857142857142857,52.85714285714286,1.7857142857142856,0.5714285714285714,64.28571428571428,7.0
Brandon Royval,0.3333333333333333,23.833333333333332,0.3333333333333333,1.1666666666666665,66.66666666666666,3.0
Brandon Thatch,0.5,17.375,0.5,0.25,37.5,3.0
Brandon Vera,0.4375,31.4375,0.5,0.125,50.0,8.0
Brandon Wolff,0.0,1.0,0.0,0.0,0.0,2.0
Brendan Allen,0.18333333333333335,34.8,0.75,0.8666666666666667,83.33333333333333,5.5
Brendan Loughnane,1.0,75.0,0.0,0.0,0.0,1.0
Brendan O'Reilly,0.0,22.5,1.75,0.5,25.0,2.0
Brendan Schaub,0.3833333333333333,21.316666666666666,1.0833333333333335,0.16666666666666666,55.0,5.5
Brett Johns,0.0,36.20833333333333,3.875,0.9166666666666666,70.83333333333333,3.5
Brian Bowles,0.16666666666666666,18.5,0.3333333333333333,0.3333333333333333,33.33333333333333,2.0
Brian Camozzi,0.0,19.0,0.0,0.5,0.0,1.5
Brian Cobb,0.0,0.0,2.0,0.0,0.0,1.0
Brian Ebersole,0.125,30.125,1.25,0.125,62.5,4.0
Brian Foster,0.25,15.333333333333334,1.0833333333333335,0.5,58.33333333333333,2.5
Brian Gassaway,0.0,3.0,0.0,0.0,0.0,1.0
Brian Geraghty,0.0,1.0,0.0,0.0,0.0,1.0
Brian Houston,0.0,15.0,0.5,0.0,0.0,1.0
Brian Johnston,0.0,4.75,0.25,0.125,25.0,3.0
Brian Kelleher,0.15,27.1,0.8500000000000001,0.35,45.0,7.5
Brian Melancon,0.5,15.5,0.5,0.0,50.0,2.0
Brian Ortega,0.41666666666666663,53.60416666666667,0.875,0.6875,54.166666666666664,5.5
Brian Stann,0.5535714285714286,25.553571428571427,0.0,0.21428571428571427,48.214285714285715,5.5
Brianna Fortino,0.0,53.0,2.5,0.0,50.0,2.0
Bristol Marunde,0.0,10.5,1.5,0.0,0.0,2.0
Brock Jardine,0.0,9.5,0.0,0.5,0.0,1.0
Brock Larson,0.0,8.6,1.3,1.1,70.0,3.0
Brock Lesnar,0.16666666666666666,27.583333333333336,2.0833333333333335,0.3333333333333333,50.0,4.0
Brodie Farber,0.0,14.0,0.5,0.5,0.0,2.0
Brogan Walker,0.0,30.0,0.0,0.0,0.0,1.0
Brok Weaver,0.0,25.0,0.3333333333333333,0.3333333333333333,33.33333333333333,3.0
Brunno Ferreira,1.0,22.0,0.0,0.0,100.0,1.0
Bruno Korea,1.0,27.0,0.0,0.0,0.0,1.0
Bruno Santos,0.0,16.25,2.5,0.5,25.0,1.5
Bruno Silva,0.48214285714285715,33.464285714285715,0.9642857142857143,0.07142857142857142,53.57142857142857,5.5
Bruno Souza,0.0,56.0,0.5,0.0,0.0,2.0
Bryan Barberena,0.35416666666666663,67.45833333333334,0.1111111111111111,0.22916666666666666,52.77777777777778,8.5
Bryan Battle,0.16666666666666666,65.33333333333333,0.6666666666666666,0.16666666666666666,83.33333333333333,2.0
Bryan Caraway,0.0,30.9,1.9000000000000001,0.6000000000000001,60.0,5.0
Bryce Mitchell,0.5,32.25,3.25,0.8333333333333334,91.66666666666667,3.5
Bubba Bush,0.0,5.0,1.5,0.0,0.0,1.0
Buddy Roberts,0.0,25.0,0.0,0.5,50.0,2.0
Byron Bloodworth,0.0,12.5,0.0,0.0,0.0,1.0
CB Dollaway,0.14583333333333331,22.020833333333336,1.8333333333333333,0.5833333333333333,54.16666666666667,10.0
CJ Fernandes,0.0,28.0,1.0,0.0,0.0,1.0
CJ Keith,0.0,4.0,0.0,0.0,0.0,1.0
CJ Vergara,0.0,66.5,0.0,0.25,50.0,4.0
CM Punk,0.0,9.5,0.5,0.0,0.0,2.0
Cain Carrizosa,0.5,22.0,0.0,0.0,0.0,2.0
